potential human fall at 5 s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
2,710	0,133	0,271	-0,974	-47,028	16,846	10,559
2,720	0,149	0,292	-0,881	-51,422	20,203	9,552
2,730	0,167	0,307	-0,795	-53,650	23,499	8,240
2,740	0,177	0,321	-0,728	-53,711	26,184	6,744
2,750	0,181	0,336	-0,679	-52,460	28,015	5,402
2,760	0,183	0,356	-0,643	-51,361	29,205	4,425
2,770	0,176	0,366	-0,609	-51,270	29,144	3,937
2,780	0,166	0,368	-0,572	-51,514	27,679	3,662
2,790	0,161	0,370	-0,535	-52,094	24,994	2,899
2,800	0,158	0,361	-0,502	-52,948	21,271	1,526
2,810	0,157	0,348	-0,470	-53,406	17,395	-0,214
2,820	0,157	0,328	-0,434	-53,131	13,824	-2,197
2,830	0,154	0,298	-0,399	-51,178	10,437	-4,333
2,840	0,149	0,276	-0,375	-47,607	6,622	-6,592
2,850	0,147	0,260	-0,354	-44,189	2,655	-8,820
2,860	0,144	0,241	-0,332	-41,809	-0,671	-10,681
2,870	0,142	0,221	-0,307	-39,642	-3,174	-12,115
2,880	0,141	0,201	-0,278	-37,140	-4,791	-13,428
2,890	0,138	0,183	-0,256	-33,844	-6,073	-14,801
2,900	0,132	0,173	-0,244	-29,816	-7,141	-15,961
2,910	0,116	0,160	-0,229	-25,482	-8,026	-16,479
2,920	0,095	0,148	-0,212	-20,111	-9,613	-16,541
2,930	0,077	0,136	-0,206	-14,221	-11,017	-16,235
2,940	0,067	0,128	-0,194	-9,277	-11,780	-15,594
2,950	0,067	0,122	-0,145	-6,226	-11,414	-14,099
2,960	0,066	0,107	-0,013	-6,500	-7,324	-10,864
2,970	0,056	0,082	0,250	-8,331	2,350	-5,554
2,980	0,016	0,013	0,661	-6,989	18,372	2,563
2,990	-0,105	-0,105	1,206	3,479	39,246	13,184
3,000	-0,325	-0,259	1,778	29,419	58,228	23,499
3,010	-0,614	-0,470	2,177	74,646	63,019	32,043
3,020	-0,878	-0,693	2,224	133,728	43,365	40,009
3,030	0,779	0,489	-3,671	200,958	-103,149	49,500
3,040	0,746	0,319	-5,120	137,939	-377,411	16,785
3,050	0,208	-0,827	-3,201	-62,836	-114,502	3,479
3,060	-0,029	-0,373	-0,347	-51,422	-9,521	57,159
3,070	-0,652	-0,428	0,205	-22,614	17,120	54,901
3,080	-0,803	-0,293	-0,808	17,609	-63,568	60,272
3,090	-0,247	-0,130	-2,273	50,720	-135,620	57,098
3,100	-0,311	-0,008	-1,852	26,611	-68,390	55,817
3,110	-0,278	-0,073	-0,670	4,700	-30,792	54,810
3,120	0,143	-0,139	-0,939	25,330	-38,910	49,652
3,130	0,213	0,042	-1,489	41,687	-43,121	29,633
3,140	0,097	0,033	-1,162	24,445	-21,332	12,390
3,150	0,054	0,059	-0,947	24,048	-13,916	-0,305
3,160	0,028	0,133	-1,086	31,342	-19,592	-8,240
3,170	-0,038	0,117	-1,128	28,046	-17,761	-9,888
3,180	-0,061	0,084	-1,044	21,881	-12,299	-8,545
3,190	-0,041	0,062	-1,042	18,951	-9,796	-6,378
3,200	-0,026	0,055	-1,066	16,510	-7,172	-5,188
3,210	-0,022	0,060	-1,034	12,512	-3,448	-4,944
3,220	-0,019	0,082	-1,009	9,644	-1,648	-5,127
3,230	-0,013	0,113	-1,018	8,331	-1,801	-4,669
3,240	-0,005	0,118	-1,018	6,683	-1,770	-3,174
3,250	-0,002	0,102	-1,016	4,272	-1,312	-1,801
3,260	-0,004	0,078	-1,020	1,709	-1,556	-0,549
3,270	-0,008	0,063	-1,019	-1,648	-1,862	0,702
3,280	-0,016	0,063	-1,012	-5,005	-1,892	1,709
3,290	-0,018	0,087	-0,992	-7,141	-2,533	2,747
3,300	-0,016	0,122	-0,982	-7,629	-3,357	3,448
3,310	-0,017	0,154	-0,980	-6,622	-3,662	3,693
3,320	-0,010	0,173	-0,975	-4,547	-2,869	3,326
3,330	0,009	0,172	-0,974	-2,228	-1,556	2,594
3,340	0,026	0,152	-0,986	-0,366	-0,641	1,343
3,350	0,034	0,135	-0,996	0,458	-0,031	0,031
3,360	0,029	0,119	-0,999	0,000	0,549	-1,312
3,370	0,020	0,106	-1,000	-1,099	0,793	-2,563
3,380	0,011	0,098	-1,007	-2,075	0,916	-3,815
3,390	0,002	0,096	-1,007	-2,777	1,434	-5,219
3,400	-0,010	0,104	-0,998	-3,387	2,045	-6,256
3,410	-0,024	0,123	-0,987	-3,418	1,709	-6,439
3,420	-0,031	0,132	-0,987	-2,777	1,312	-5,737
3,430	-0,029	0,140	-0,992	-1,892	1,648	-4,852
3,440	-0,020	0,141	-0,994	-0,793	2,319	-4,028
3,450	-0,008	0,133	-0,993	0,214	2,716	-3,571
3,460	-0,001	0,126	-0,993	1,007	2,563	-3,357
3,470	0,005	0,122	-0,996	1,007	2,502	-3,174
3,480	0,013	0,117	-0,995	0,366	2,502	-3,082
3,490	0,025	0,115	-0,994	-0,671	2,594	-3,326
3,500	0,031	0,117	-0,995	-2,228	2,533	-3,937
3,510	0,028	0,121	-0,991	-4,150	2,136	-4,974
3,520	0,016	0,119	-0,993	-5,707	1,587	-6,165
3,530	0,002	0,121	-0,997	-6,897	1,221	-7,263
3,540	-0,015	0,118	-0,994	-7,355	1,587	-8,179
3,550	-0,024	0,120	-0,991	-6,744	2,502	-8,698
3,560	-0,020	0,130	-0,991	-5,707	3,326	-8,820
3,570	-0,011	0,135	-0,988	-4,578	3,754	-8,453
3,580	-0,003	0,142	-0,990	-3,998	4,059	-7,721
3,590	0,003	0,146	-0,990	-4,028	3,632	-6,958
3,600	0,003	0,144	-0,988	-4,272	2,899	-5,615
3,610	0,002	0,145	-0,989	-4,486	2,258	-4,059
3,620	-0,001	0,147	-0,992	-4,944	2,045	-2,197
3,630	-0,003	0,147	-0,989	-5,371	2,136	-0,122
3,640	-0,001	0,151	-0,986	-5,371	1,984	1,587
3,650	0,003	0,156	-0,983	-5,219	1,495	2,899
3,660	0,005	0,155	-0,984	-4,944	1,099	3,601
3,670	0,007	0,153	-0,991	-4,730	0,977	3,845
3,680	0,010	0,149	-0,996	-4,791	1,129	3,754
3,690	0,011	0,140	-0,997	-5,402	1,801	3,448
3,700	0,012	0,133	-0,993	-6,287	2,350	2,838
3,710	0,015	0,132	-0,989	-6,836	2,472	1,923
3,720	0,017	0,138	-0,988	-6,714	2,319	1,007
3,730	0,016	0,143	-0,989	-6,317	2,197	0,092
3,740	0,013	0,146	-0,991	-5,981	1,953	-0,488
3,750	0,011	0,148	-0,989	-5,554	1,465	-0,793
3,760	0,009	0,150	-0,985	-4,974	1,068	-0,824
3,770	0,008	0,153	-0,986	-4,211	0,763	-0,671
3,780	0,008	0,154	-0,988	-3,601	0,732	-0,397
3,790	0,014	0,156	-0,989	-3,448	0,854	-0,153
3,800	0,018	0,153	-0,989	-3,632	0,854	0,153
3,810	0,018	0,148	-0,985	-3,723	0,549	0,458
3,820	0,012	0,152	-0,982	-3,815	0,061	0,641
3,830	0,007	0,157	-0,985	-3,906	-0,214	0,946
3,840	0,007	0,160	-0,990	-3,998	-0,336	1,312
3,850	0,009	0,162	-0,993	-4,028	-0,153	1,678
3,860	0,011	0,160	-0,993	-4,089	0,305	2,045
3,870	0,011	0,155	-0,993	-4,120	0,702	2,075
3,880	0,012	0,152	-0,990	-4,028	0,854	1,740
3,890	0,015	0,150	-0,991	-3,876	1,007	1,312
3,900	0,016	0,150	-0,992	-3,937	1,282	0,763
3,910	0,016	0,153	-0,992	-4,089	1,434	0,397
3,920	0,015	0,157	-0,990	-4,089	1,495	0,275
3,930	0,014	0,161	-0,986	-4,181	1,190	0,397
3,940	0,013	0,163	-0,983	-4,089	0,580	0,610
3,950	0,014	0,166	-0,981	-3,906	-0,061	0,916
3,960	0,014	0,172	-0,981	-3,540	-0,397	1,099
3,970	0,012	0,175	-0,983	-2,777	-0,214	1,190
3,980	0,013	0,171	-0,987	-2,014	0,305	1,282
3,990	0,016	0,167	-0,989	-1,587	0,793	1,373
4,000	0,016	0,162	-0,988	-1,404	1,068	1,434
4,010	0,014	0,154	-0,986	-1,373	0,946	1,465
4,020	0,013	0,148	-0,988	-1,373	0,397	1,434
4,030	0,014	0,144	-0,994	-1,556	-0,183	1,404
4,040	0,015	0,145	-0,994	-2,075	-0,366	1,373
4,050	0,017	0,151	-0,991	-2,747	0,061	1,160
4,060	0,020	0,165	-0,981	-3,052	0,793	0,946
4,070	0,024	0,176	-0,975	-2,960	1,587	0,793
4,080	0,024	0,179	-0,973	-2,502	1,801	0,702
4,090	0,022	0,177	-0,976	-1,709	1,373	0,427
